kn_gu,method,index,coordinate,vertical_u_over_Uw,vertical_rho,vertical_temperature,vertical_qx,horizontal_v_over_Uw,horizontal_qy
0.05,DSMC,0,0.003125,-0.022732500000000003,1.00600605975053,1.0015100000000001,-0.000736015892011471,0.0487577,0.0017460685140939132
0.05,DSMC,1,0.009375,-0.0265806,1.0062680868657319,1.0001916666666668,0.000177381501450693,0.05996525,3.6368239009873065e-05
0.05,DSMC,2,0.015625,-0.03081845,1.0053560587851944,1.000775,-0.00046461715658580656,0.06940049999999999,-0.0009721831319311015
0.05,DSMC,3,0.021875,-0.0363495,1.0067516065147788,1.0000533333333332,-5.005839616279156e-05,0.07689145,-0.0007840820846889443
0.05,DSMC,4,0.028125,-0.03859775,1.005480557856506,1.0012033333333332,0.0002081854740244607,0.08444659999999998,-0.0008789967403841854
0.05,DSMC,5,0.034375,-0.0412866,1.0049449223171427,1.0010716666666668,-0.00019529776518968243,0.08947855,-0.002172327046526543
0.05,DSMC,6,0.040625,-0.0443513,1.005289466258679,1.0013766666666668,0.00013617339548870414,0.09686885,-0.001651653203090281
0.05,DSMC,7,0.046875,-0.0487098,1.0051128512970513,1.0009316666666668,0.0004143903539780018,0.10246385000000001,-0.0032423136201236978
0.05,DSMC,8,0.053125000000000006,-0.05103069999999999,1.0046843428655607,1.0014916666666667,0.0015136466391062753,0.1086655,-0.003741448503038709
0.05,DSMC,9,0.059375000000000004,-0.051138750000000004,1.0052995999040184,1.0012850000000002,0.0012728603908530303,0.112365,-0.002986570809440832
0.05,DSMC,10,0.065625,-0.0544721,1.0047393540831169,1.0013199999999998,0.0005674374038692098,0.11490149999999999,-0.0018542430792470059
0.05,DSMC,11,0.07187500000000001,-0.057178,1.005293809249539,1.0011483333333333,0.0009050440701211055,0.12028049999999998,-0.0021949220441406917
0.05,DSMC,12,0.07812500000000001,-0.060233400000000006,1.0052301120502634,1.0012866666666667,0.00046231765330007784,0.12394849999999998,-0.003504028984961102
0.05,DSMC,13,0.084375,-0.06057465,1.0052576176590413,1.00236,0.0010371920760076207,0.1271905,-0.004192914850687519
0.05,DSMC,14,0.09062500000000001,-0.06466055,1.00469158118366,1.0016666666666665,0.0008038680236359833,0.1296695,-0.004394289235143942
0.05,DSMC,15,0.096875,-0.06673555,1.005509511128904,1.0018416666666665,0.0021156786991591387,0.134656,-0.004570402652848381
0.05,DSMC,16,0.10312500000000001,-0.06646915,1.0050288868070971,1.0014466666666668,0.0019069246435740649,0.13705499999999998,-0.0038107133465358402
0.05,DSMC,17,0.109375,-0.07050129999999999,1.0050578400794952,1.0019999999999998,0.0012716029374139366,0.140114,-0.003927157171679948
0.05,DSMC,18,0.115625,-0.07448715,1.0044252110775984,1.0017399999999999,0.0014729563410009632,0.1392085,-0.0034617175650138434
0.05,DSMC,19,0.121875,-0.07458345,1.0039967026461079,1.0020916666666668,0.0011717843531786924,0.14043999999999998,-0.003206520256935257
0.05,DSMC,20,0.128125,-0.07450865,1.0048479288546095,1.0016433333333334,0.0010207528654740628,0.143805,-0.004165681682212376
0.05,DSMC,21,0.13437500000000002,-0.0789523,1.0044223157503587,1.0019866666666668,0.0013439448352165879,0.144879,-0.00315537309352331
0.05,DSMC,22,0.140625,-0.07895035,1.004154497980677,1.0021149999999999,0.00030768039338116603,0.1477695,-0.005005909552510473
0.05,DSMC,23,0.146875,-0.08192215,1.0038504886204977,1.0022900000000001,0.0017250946383217103,0.149909,-0.004219238848155533
0.05,DSMC,24,0.15312499999999998,-0.08392785,1.0034321138343465,1.0027033333333333,0.0013628571307620048,0.150325,-0.004532455253735352
0.05,DSMC,25,0.15937500000000002,-0.08617915,1.0037057222585077,1.0026366666666666,0.0018786228494843847,0.152851,-0.004805150606889648
0.05,DSMC,26,0.16562500000000002,-0.08736835,1.0044614026680958,1.0019433333333332,0.0004322450738334316,0.15039049999999998,-0.0026143380157011894
0.05,DSMC,27,0.171875,-0.08954065000000001,1.0041197540537994,1.0021183333333332,0.0014647807955599143,0.1503535,-0.004123747917914233
0.05,DSMC,28,0.178125,-0.08975435000000001,1.0048088419368721,1.00167,0.0009507718749682373,0.1522425,-0.004185026043794874
0.05,DSMC,29,0.184375,-0.0931977,1.0032815568178768,1.0026899999999999,-7.653541410492811e-05,0.1523695,-0.004224344193041731
0.05,DSMC,30,0.19062500000000002,-0.093831,1.0035783278599566,1.0019783333333334,0.001342319657073225,0.1506085,-0.004404066320282167
0.05,DSMC,31,0.196875,-0.09575125,1.0029688614759784,1.0036583333333333,0.000644287531015068,0.1510935,-0.0047351304520942845
0.05,DSMC,32,0.203125,-0.09700615,1.0037505998307248,1.0026233333333332,0.00034040103831042894,0.1503845,-0.0053597449212396606
0.05,DSMC,33,0.209375,-0.09905065,1.0030861222291902,1.0020666666666667,0.00046503243792737155,0.14899549999999998,-0.002858454627289787
0.05,DSMC,34,0.215625,-0.10100089999999999,1.0044136297686392,1.001605,0.0019480933055015907,0.1497745,-0.0047363333552729505
