kn_gu,model,smoothing_cells,activity_threshold,common_mask_cells,DSMC_f_active_domain,DSMC_f_AF_domain,DSMC_f_AF_active,model_f_active_domain,model_f_AF_domain,model_f_AF_active,Jaccard,Dice,precision,recall,q_common_E,q_common_C,q_common_G,q_common_angle_weighted_deg,q_common_angle_median_deg,q_common_angle_p90_deg
0.05,R13,7,0.05,10744,0.4196875,0.1165625,0.27773641102010427,0.1519921875,0.1062890625,0.6993060909791827,0.24721355327686134,0.39642537980339587,0.4247414783607813,0.37164879356568364,0.8469058333981043,0.7921427407807105,1.379288048532815,22.52181843959029,6.455318534871175,50.3294077525072
0.05,R26,7,0.05,10744,0.4196875,0.1165625,0.27773641102010427,0.4066015625,0.059296875,0.14583533480641753,0.34355828220858897,0.5114155251141552,0.8022922636103151,0.3753351206434316,0.21208410178508322,0.9772784847484807,0.9700050411162396,6.093935182004482,2.7687689872640178,12.304798716507213
0.2,R13,7,0.05,12615,0.4927734375,0.314921875,0.639080459770115,0.1321484375,0.11078125,0.8383091930239432,0.0995885641945353,0.1811378681761489,0.3998305802626006,0.11709253287025552,0.6195373431094227,0.8225968091281166,1.0685480845768147,27.368347246329115,21.54740028555363,58.42666522741018
0.2,R26,7,0.05,12615,0.4927734375,0.314921875,0.639080459770115,0.4573046875,0.38359375,0.8388143845562483,0.5694471200154113,0.7256658892843991,0.718172983479106,0.7333167948399901,0.3587320276358926,0.9362818308017257,1.009167593068371,11.713492327584287,8.36140488466923,21.718509729929114
