case_id,model,kn,rt,seed,figure
L40_00,SHAKHOV,5,0.5,104729,Figure6
L40_01,SHAKHOV,10,0.5,104729,Figure6
L40_02,SHAKHOV,20,0.5,104729,Figure6
L40_03,HS,30,0.5,104729,Figure2d
