case,Kn,delta_over_R,global_displacement_std_over_R,displacement_std_over_delta,tau_star,local_layer_crossing_star,tau_over_local_crossing,physical_covariance_E1,uniform_basis_energy,two_term_basis_energy,uniform_mode_correlation,far_angle_mean_correlation,tau_q025,tau_q975
Kn0p01,0.01,0.1225139871907516,0.0005559428878547,0.0045377911584014415,0.6526326609285289,0.0612569935953758,10.654010630025356,0.41784935178064053,0.7530455326317999,0.982222053928691,0.8677819614579457,0.184148807543692,0.4253011324289451,0.7858517680497134
Kn0p025,0.025,0.2235438103884916,0.0006523123976385,0.00291805170764899,0.7237006417754263,0.1117719051942458,6.474799195000959,0.45563567364570107,0.7673189208246667,0.972902926932677,0.8759674199561689,0.2666422857248413,0.2386439177266325,1.0194473731976372
Kn0p050,0.05,0.3594090633999095,0.0012076296168594,0.0033600421910220083,0.2795119233677923,0.17970453169995476,1.5553971885054174,0.21896605609789074,0.5884319978890922,0.9033247198581987,0.7670932132988091,0.0721480619954388,0.2222446977437041,0.6112351948732442
