case,case_label,sweep_group,baseline,relL2_T_percent,relL2_u_percent,relL2_sigma_percent,relL2_q_percent,relL2_R_percent,relL2_Delta_percent,f_AF_domain,f_AF_domain_over_baseline,mean_IAF_AF,mean_IAF_AF_over_baseline,PDelta_over_PR,PDelta_over_PR_over_baseline
N160_ppc128,160^2 / 128 ppc,baseline,N160_ppc128,0.0,0.0,0.0,0.0,0.0,0.0,0.04765625,1.0,0.3270551309873688,1.0,0.04192090212584869,1.0
N120_ppc128,120^2 / 128 ppc,grid,N160_ppc128,0.04425564149215529,0.892104313309014,2.966242403921428,12.543795299716926,16.963706280948752,76.29934109305614,0.0473046875,0.9926229508196721,0.3356688104363848,1.026337087031815,0.048546527699575036,1.1580506438968294
N200_ppc128,200^2 / 128 ppc,grid,N160_ppc128,0.04202007069641653,0.7654295935531749,2.701249899563324,12.09079238572527,16.28051909202774,72.88062541255982,0.0434765625,0.9122950819672132,0.33486453916237113,1.0238779564516416,0.03811047379249909,0.9091043336350326
N160_ppc64,160^2 / 64 ppc,particles,N160_ppc128,0.0592225810625724,1.0958576865214469,3.840753283698896,17.45157786623643,23.307110192155626,104.93604920742672,0.05375,1.1278688524590164,0.30759832293848716,0.9405090879016569,0.048007508512344324,1.1451926384652538
N160_ppc256,160^2 / 256 ppc,particles,N160_ppc128,0.041878278644580234,0.7619130884706204,2.731208475783937,12.265385620238924,16.538776283153442,74.50657756905373,0.0400390625,0.8401639344262296,0.3419218789011998,1.0454563971185797,0.041806251701842115,0.9972650773673146
