x_over_L,u_mean_over_Ulid,u_CI95_halfwidth_over_Ulid,slip_mean_over_Ulid,slip_CI95_halfwidth,temperature_mean_K,temperature_CI95_halfwidth_K,u_mean_11cell_over_Ulid,slip_mean_11cell_over_Ulid,temperature_mean_11cell_K
4.224999999999999867e-01,6.526456666666666795e-01,1.224765557215934386e-02,3.473543333333333205e-01,1.224765557215935254e-02,3.123933333333333167e+02,1.113074815167266696e+00,6.535140303030303466e-01,3.464859696969696534e-01,3.110547878787879199e+02
4.274999999999999911e-01,6.538323333333333487e-01,2.293677749381052566e-02,3.461676666666666513e-01,2.293677749381055689e-02,3.116106666666667024e+02,9.193670280109298432e-01,6.539395454545454678e-01,3.460604545454545322e-01,3.110016363636363508e+02
4.324999999999999956e-01,6.524463333333333503e-01,2.026375576317552760e-02,3.475536666666667052e-01,2.026375576317549984e-02,3.103973333333333358e+02,1.899259884339669524e+00,6.542464242424241849e-01,3.457535757575758151e-01,3.109112121212121451e+02
4.375000000000000000e-01,6.564223333333332189e-01,2.097066245986747152e-02,3.435776666666666146e-01,2.097066245986742988e-02,3.101829999999999927e+02,9.664125837607980829e-01,6.545223939393939316e-01,3.454776060606061239e-01,3.110021818181818958e+02
4.425000000000000044e-01,6.454903333333332771e-01,4.280267375391786505e-02,3.545096666666667229e-01,4.280267375391781648e-02,3.090880000000000223e+02,3.601765822861816790e+00,6.549168181818181278e-01,3.450831818181818722e-01,3.109362727272728080e+02
4.475000000000000089e-01,6.543423333333333591e-01,2.818169880787895973e-02,3.456576666666666964e-01,2.818169880787895279e-02,3.104680000000000177e+02,2.810679696972644859e+00,6.560585757575756460e-01,3.439414242424242429e-01,3.110185454545454604e+02
4.525000000000000133e-01,6.630849999999999245e-01,5.525686024485710474e-02,3.369150000000000200e-01,5.525686024485709780e-02,3.109853333333333580e+02,2.971371740929084293e+00,6.571146060606060102e-01,3.428853939393939898e-01,3.109972121212121010e+02
4.575000000000000178e-01,6.616793333333333971e-01,6.794632306955500356e-02,3.383206666666667140e-01,6.794632306955504519e-02,3.110289999999999964e+02,6.249995697776333792e+00,6.576534242424243448e-01,3.423465757575758217e-01,3.110576969696969627e+02
4.625000000000000222e-01,6.593333333333332158e-01,3.171869448179778783e-02,3.406666666666666732e-01,3.171869448179778783e-02,3.117346666666666692e+02,2.703198815247965570e+00,6.582958787878787632e-01,3.417041212121212368e-01,3.112443030303030014e+02
4.675000000000000266e-01,6.567290000000000072e-01,2.799920752846807911e-03,3.432710000000000483e-01,2.799920752846759339e-03,3.108360000000000127e+02,2.832192630104281239e+00,6.587483636363635764e-01,3.412516363636364236e-01,3.114003030303030073e+02
