case_id,model,kn,rt,seed,group
K001_00,HS,0.01,0.5,42,kn001_heavy
K001_01,HS,0.01,0.5,271828,kn001_heavy
K001_02,HS,0.01,0.5,314159,kn001_heavy
K001_03,BGK,0.01,0.5,42,kn001_heavy
K001_04,BGK,0.01,0.5,271828,kn001_heavy
K001_05,BGK,0.01,0.5,314159,kn001_heavy
K001_06,SHAKHOV,0.01,0.5,42,kn001_heavy
K001_07,SHAKHOV,0.01,0.5,271828,kn001_heavy
K001_08,SHAKHOV,0.01,0.5,314159,kn001_heavy
