case_id,model,kn,rt,seed,figure
H48_00,HS,20,0.2,104729,Figure5
H48_01,HS,20,0.2,1299709,Figure5
H48_02,HS,20,0.2,15485863,Figure5
H48_03,BGK,20,0.2,104729,Figure5
H48_04,BGK,20,0.2,1299709,Figure5
H48_05,BGK,20,0.2,15485863,Figure5
H48_06,SHAKHOV,20,0.2,104729,Figure5
H48_07,SHAKHOV,20,0.2,1299709,Figure5
H48_08,SHAKHOV,20,0.2,15485863,Figure5
H48_09,SHAKHOV,5,0.5,104729,Figure6
H48_10,SHAKHOV,5,0.5,1299709,Figure6
H48_11,SHAKHOV,5,0.5,15485863,Figure6
H48_12,SHAKHOV,10,0.5,104729,Figure6
H48_13,SHAKHOV,10,0.5,1299709,Figure6
H48_14,SHAKHOV,10,0.5,15485863,Figure6
H48_15,SHAKHOV,20,0.5,104729,Figure6
H48_16,SHAKHOV,20,0.5,1299709,Figure6
H48_17,SHAKHOV,20,0.5,15485863,Figure6
H48_18,HS,30,0.5,104729,Figure2d
H48_19,HS,30,0.5,1299709,Figure2d
H48_20,HS,30,0.5,15485863,Figure2d
